Charan,nTR,Prab
0108000,19201920,NonStandard
0108000,19211921,NonStandard
0108000,19191919,NonStandard
0108000,19241924,NonStandard
0108000,19261926,NonStandard
0108000,19271927,NonStandard
0108000,19311931,NonStandard
0108000,19321932,NonStandard
0108000,19331933,NonStandard
0108000,19341934,NonStandard
0108000,19891989,NonStandard
0108000,19881988,NonStandard
0108000,20892089,NonStandard
0108000,20902090,NonStandard
0108000,20972097,NonStandard
0108000,20982098,NonStandard
0108000,21412141,NonStandard
0108000,21422142,NonStandard
0108000,21822182,NonStandard
0108000,21812181,NonStandard
0108000,21582158,NonStandard
0108000,21572157,NonStandard
0108000,21632163,NonStandard
0108000,21642164,NonStandard
0108000,21892189,NonStandard
0108000,21902190,NonStandard
0108000,21952195,NonStandard
0108000,21962196,NonStandard
0108000,22012201,NonStandard
0108000,22022202,NonStandard
0108000,22092209,NonStandard
0108000,22102210,NonStandard
0301000,15751027,NonStandard
0301000,15801033,NonStandard
0301000,15791032,NonStandard
0301000,15781031,NonStandard
0301000,16641081,NonStandard
0301000,15811034,NonStandard
0301000,15621013,NonStandard
0301000,15761028,NonStandard
0301000,15591010,NonStandard
0301000,15741026,NonStandard
0301000,15651016,NonStandard
0301000,15641015,NonStandard
0301000,15611012,NonStandard
0301000,15631014,NonStandard
0301000,15601011,NonStandard
0301000,15771029,NonStandard
0301000,16171070,NonStandard
0301000,16061059,NonStandard
0301000,16071060,NonStandard
0301000,16081061,NonStandard
0301000,16091062,NonStandard
0301000,16101063,NonStandard
0301000,16111064,NonStandard
0301000,16121065,NonStandard
0301000,16131066,NonStandard
0301000,16141067,NonStandard
0301000,16051058,NonStandard
0301000,16161069,NonStandard
0301000,16181071,NonStandard
0301000,15821035,NonStandard
0301000,16191072,NonStandard
0301000,16211076,NonStandard
0301000,16221077,NonStandard
0301000,16231078,NonStandard
0301000,16241079,NonStandard
0301000,16251080,NonStandard
0301000,16271082,NonStandard
0301000,15581009,NonStandard
0301000,16571119,NonStandard
0301000,16151068,NonStandard
0301000,15881041,NonStandard
0301000,16201073,NonStandard
0301000,16041057,NonStandard
0301000,15831036,NonStandard
0301000,15841037,NonStandard
0301000,15851038,NonStandard
0301000,15871040,NonStandard
0301000,15891042,NonStandard
0301000,15901043,NonStandard
0301000,15911044,NonStandard
0301000,15921045,NonStandard
0301000,16011054,NonStandard
0301000,16031056,NonStandard
0301000,15861039,NonStandard
0301000,16021055,NonStandard
0301000,15931046,NonStandard
0301000,16001053,NonStandard
0301000,15991052,NonStandard
0301000,15981051,NonStandard
0301000,15971050,NonStandard
0301000,15961049,NonStandard
0301000,15951048,NonStandard
0301000,15941047,NonStandard
0752420,03300330,NonStandard
0752420,04730473,NonStandard
0752420,03260326,NonStandard
0752420,04760476,NonStandard
0702602,00720072,NonStandard
0702602,00850085,NonStandard
0702602,00950095,NonStandard
0702602,00600060,NonStandard
0702602,00620062,NonStandard
0702602,00640064,NonStandard
0702602,00560056,NonStandard
0702602,00540054,NonStandard
0702602,00520052,NonStandard
0702602,00500050,NonStandard
0702602,00870087,NonStandard
0702602,00890089,NonStandard
0702602,00910091,NonStandard
0702602,00660066,NonStandard
0702602,00580058,NonStandard
0702602,00930093,NonStandard
0702602,01050105,NonStandard
0702602,01030103,NonStandard
0702602,00970097,NonStandard
0702602,00990099,NonStandard
0702602,01070107,NonStandard
0702602,01010101,NonStandard
0702602,00680068,NonStandard
0702602,00700070,NonStandard
0702602,01080108,NonStandard
0702602,01060106,NonStandard
0702602,00980098,NonStandard
0702602,01040104,NonStandard
0702602,00940094,NonStandard
0702602,00880088,NonStandard
0702602,00900090,NonStandard
0702602,01000100,NonStandard
0702602,00920092,NonStandard
0702602,00960096,NonStandard
0702602,01020102,NonStandard
0702602,00760076,NonStandard
0702602,00730073,NonStandard
0702602,00750075,NonStandard
0702602,00770077,NonStandard
0702602,00780078,NonStandard
0702602,00790079,NonStandard
0702602,00800080,NonStandard
0702602,00810081,NonStandard
0702602,00820082,NonStandard
0702602,00830083,NonStandard
0702602,00840084,NonStandard
0702602,00860086,NonStandard
0702602,00740074,NonStandard
0702602,01230123,NonStandard
0702602,01100110,NonStandard
0702602,01090109,NonStandard
0702602,01260126,NonStandard
0702602,01240124,NonStandard
0702602,01220122,NonStandard
0702602,01210121,NonStandard
0702602,01200120,NonStandard
0702602,01190119,NonStandard
0702602,01170117,NonStandard
0755560,,NonStandard
0203922,,NonStandard
0925417,,NonStandard
0921741,,NonStandard
0903887,,NonStandard
0902627,,NonStandard
0709720,,NonStandard
0901631,,Standard
0755681,,NonStandard
0711734,,NonStandard
0929352,,Standard
0228680,,NonStandard
0712525,,NonStandard
0702581,,NonStandard
0706254,,NonStandard
0702804,,NonStandard
0902837,,NonStandard
0188702,,NonStandard
0918505,,NonStandard
0917078,,NonStandard
0906014,,NonStandard
0742646,,NonStandard
0715806,,Standard
0717292,,NonStandard
0175396,,NonStandard
0928531,,NonStandard
0906585,,Standard
0929265,,Standard
0730727,,NonStandard
0909006,,NonStandard
0915438,,NonStandard
0718071,,NonStandard
0742196,,NonStandard
0915800,,Standard
0227475,,NonStandard
0918622,,NonStandard
0918806,,NonStandard
0701959,,NonStandard
0924390,,NonStandard
0919182,,NonStandard
0902494,,NonStandard
0701403,,NonStandard
0927761,,NonStandard
0700855,,NonStandard
0225497,,NonStandard
0730090,,NonStandard
0914756,,NonStandard
0222244,,NonStandard
0743020,,NonStandard
0922329,,Standard
0753836,,NonStandard
0221775,,NonStandard
0915270,,NonStandard
0168504,,NonStandard
0742373,,NonStandard
0909346,,Standard
0908546,,NonStandard
0701529,,NonStandard
0216280,,NonStandard
0700228,,NonStandard
0752347,,NonStandard
0908759,,NonStandard
0701315,,NonStandard
0911779,,NonStandard
0924842,,NonStandard
0911813,,NonStandard
0702111,00010001,NonStandard
0702111,00020002,NonStandard
0702111,00050005,NonStandard
0702172,01730173,NonStandard
0702172,01870187,NonStandard
0702172,02160216,NonStandard
0702172,02170217,NonStandard
0702172,02210221,NonStandard
0702172,02260226,NonStandard
0702172,02280228,NonStandard
0714347,00700070,NonStandard
0714347,00790079,NonStandard
0714347,00580058,NonStandard
0714347,00570057,NonStandard
0714347,00810081,NonStandard
0714347,00650065,NonStandard
0714347,00640064,NonStandard
0714347,00630063,NonStandard
0714347,00770077,NonStandard
0714347,00780078,NonStandard
0714347,00680068,NonStandard
0714347,00990099,NonStandard
0714347,00980098,NonStandard
0714347,01040104,NonStandard
0714347,00920092,NonStandard
0714347,01000100,NonStandard
0714347,00900090,NonStandard
0714347,00960096,NonStandard
0714347,00910091,NonStandard
0714347,01210121,NonStandard
0714347,01260126,NonStandard
0714347,01300130,NonStandard
0714347,01290129,NonStandard
0714347,01270127,NonStandard
0714347,01250125,NonStandard
0714347,01190119,NonStandard
0714347,01180118,NonStandard
0714347,01170117,NonStandard
0714347,01160116,NonStandard
0714347,01200120,NonStandard
0714347,01280128,NonStandard
0714347,01140114,NonStandard
0714347,01150115,NonStandard
0714347,01240124,NonStandard
0714347,01230123,NonStandard
0714347,01220122,NonStandard
0716419,00340034,NonStandard
0716419,00350035,NonStandard
0716419,00400040,NonStandard
0702172,02440244,NonStandard
0702172,02470247,NonStandard
0702172,02590259,NonStandard
0702172,01670167,NonStandard
0702172,02550255,NonStandard
0702172,02610261,NonStandard
0702172,02110211,NonStandard
0702172,02570257,NonStandard
0702172,02520252,NonStandard
0702172,02490249,NonStandard
0702172,02100210,NonStandard
0702172,02480248,NonStandard
0702172,02290229,NonStandard
0702172,02340234,NonStandard
0702172,02360236,NonStandard
0702172,02390239,NonStandard
0702172,02400240,NonStandard
0702172,02450245,NonStandard
0702172,02330233,NonStandard
0702172,02560256,NonStandard
0702172,02600260,NonStandard
0702172,02410241,NonStandard
0702172,02350235,NonStandard
0702172,02580258,NonStandard
0702172,02620262,NonStandard
0702172,02510251,NonStandard
0702172,02540254,NonStandard
0702172,02380238,NonStandard
0702172,02370237,NonStandard
0714347,00590059,NonStandard
0714347,00690069,NonStandard
0714347,00710071,NonStandard
0714347,00720072,NonStandard
0714347,00660066,NonStandard
0708963,00990099,NonStandard
0708963,01000100,NonStandard
0708963,02900290,NonStandard
0708963,01010101,NonStandard
0708963,02910291,NonStandard
0708963,01030103,NonStandard
0708963,01040104,NonStandard
0708963,00980098,NonStandard
0708963,01590159,NonStandard
0708963,01600160,NonStandard
0708963,01620162,NonStandard
0708963,01610161,NonStandard
0708963,01640164,NonStandard
0708963,01630163,NonStandard
0708963,01660166,NonStandard
0708963,01650165,NonStandard
0708963,03240324,NonStandard
0708963,01770177,NonStandard
0708963,03140314,NonStandard
0708963,01860186,NonStandard
0708963,03250325,NonStandard
0708963,03150315,NonStandard
0708963,01950195,NonStandard
0708963,03260326,NonStandard
0708963,03160316,NonStandard
0708963,03270327,NonStandard
0708963,02040204,NonStandard
0708963,03170317,NonStandard
0709335,01240124,NonStandard
0709335,03360336,NonStandard
0709335,05210521,NonStandard
0709335,02850285,NonStandard
0709335,01690169,NonStandard
0709335,04810481,NonStandard
0709335,01580158,NonStandard
0709335,01970197,NonStandard
0709335,03160316,NonStandard
0709335,02220222,NonStandard
0709335,02560256,NonStandard
0709335,05490549,NonStandard
0709335,05600560,NonStandard
0709335,05700570,NonStandard
0709335,06020602,NonStandard
0709335,05810581,NonStandard
0709335,05920592,NonStandard
0709335,06120612,NonStandard
0709335,05390539,NonStandard
0709335,05710571,NonStandard
0709335,05500550,NonStandard
0709335,06130613,NonStandard
